学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
内蒙古大学,内蒙古,B,0,1,1,统考,数学科学学院,(025200)(专业学位)应用统计,全日制,专业：45(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
辽宁大学,辽宁,A,0,1,1,统考,经济学院,(025200)(专业学位)应用统计,全日制,专业：14(不含推免),(101)思想政治理论,(202)俄语,(303)数学（三）,(432)统计学,(101)思想政治理论,(203)日语,(303)数学（三）,(432)统计学,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
大连理工大学,辽宁,A,1,1,1,统考,（主校区）数学科学学院,(025200)(专业学位)应用统计,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
大连理工大学,辽宁,A,1,1,1,统考,（主校区）数学科学学院,(025200)(专业学位)应用统计,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
大连理工大学,辽宁,A,1,1,1,统考,（主校区）数学科学学院,(025200)(专业学位)应用统计,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
东北大学,辽宁,A,1,1,1,统考,理学院,(025200)(专业学位)应用统计,全日制,专业：28(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
东北大学,辽宁,A,1,1,1,统考,理学院,(025200)(专业学位)应用统计,全日制,专业：28(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
东北大学,辽宁,A,1,1,1,统考,理学院,(025200)(专业学位)应用统计,全日制,专业：28(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
东北大学,辽宁,A,1,1,1,统考,理学院,(025200)(专业学位)应用统计,全日制,专业：28(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
东北大学,辽宁,A,1,1,1,统考,理学院,(025200)(专业学位)应用统计,全日制,专业：28(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
