学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
兰州交通大学,甘肃,B,0,0,0,统考,自动化与电气工程学院,(085400)(专业学位)电子信息,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(814)电路基础
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(827)通信系统原理
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(827)通信系统原理
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(827)通信系统原理
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(827)通信系统原理
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(827)通信系统原理
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085403)(专业学位)集成电路工程,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(826)电路分析
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085403)(专业学位)集成电路工程,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(826)电路分析
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085403)(专业学位)集成电路工程,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(826)电路分析
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085404)(专业学位)计算机技术,非全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085404)(专业学位)计算机技术,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085404)(专业学位)计算机技术,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085404)(专业学位)计算机技术,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构
兰州交通大学,甘肃,B,0,0,0,统考,电子与信息工程学院,(085404)(专业学位)计算机技术,全日制,专业：49(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构
