学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
华中科技大学,湖北,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华中科技大学,湖北,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华中科技大学,湖北,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华中科技大学,湖北,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华中科技大学,湖北,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华中科技大学,湖北,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
湖南大学,湖南,A,1,1,1,统考,金融与统计学院,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中南大学,湖南,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
国防科技大学,湖南,A,1,1,1,统考,文理学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
国防科技大学,湖南,A,1,1,1,统考,文理学院,(025200)(专业学位)应用统计,非全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中山大学,广东,A,1,1,1,统考,数学学院,(025200)(专业学位)应用统计,全日制,专业：42(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
重庆大学,重庆,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
重庆大学,重庆,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
重庆大学,重庆,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
重庆大学,重庆,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
西安交通大学,陕西,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
西安交通大学,陕西,A,1,1,1,统考,经济与金融学院,(025200)(专业学位)应用统计,全日制,专业：21(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
兰州大学,甘肃,B,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：73(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
