学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
河南科技大学,河南,A,普通院校,统考,信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(652)离散数学,(825)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
河南师范大学,河南,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(602)数学（理）,(846)数据结构与C程序设计,-,-,-,-,-,-,-,-,-,-,-,-
河南师范大学,河南,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(602)数学（理）,(846)数据结构与C程序设计,-,-,-,-,-,-,-,-,-,-,-,-
河南师范大学,河南,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(602)数学（理）,(846)数据结构与C程序设计,-,-,-,-,-,-,-,-,-,-,-,-
河南师范大学,河南,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(602)数学（理）,(846)数据结构与C程序设计,-,-,-,-,-,-,-,-,-,-,-,-
河南师范大学,河南,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(602)数学（理）,(846)数据结构与C程序设计,-,-,-,-,-,-,-,-,-,-,-,-
信阳师范学院,河南,A,普通院校,统考,计算机与信息技术学院,(077500)计算机科学与技术,全日制,研究方向：10(不含推免),(101)思想政治理论,(201)英语（一）,(602)高等数学,(819)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
长江大学,湖北,A,普通院校,统考,计算机科学学院,(077500)计算机科学与技术,全日制,一级学科：29(不含推免),(101)思想政治理论,(201)英语（一）,(624)数据结构,(841)数据库原理及应用,-,-,-,-,-,-,-,-,-,-,-,-
长江大学,湖北,A,普通院校,统考,录井技术与工程研究院,(077500)计算机科学与技术,全日制,一级学科：2(不含推免),(101)思想政治理论,(201)英语（一）,(624)数据结构,(841)数据库原理及应用,-,-,-,-,-,-,-,-,-,-,-,-
武汉工程大学,湖北,A,普通院校,统考,计算机科学与工程学院、人工智能学院,(077503)计算机应用技术,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(836)计算机综合I（数据结构、计算机组成原理）,-,-,-,-,-,-,-,-,-,-,-,-
武汉工程大学,湖北,A,普通院校,统考,计算机科学与工程学院、人工智能学院,(077503)计算机应用技术,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(836)计算机综合I（数据结构、计算机组成原理）,-,-,-,-,-,-,-,-,-,-,-,-
武汉工程大学,湖北,A,普通院校,统考,计算机科学与工程学院、人工智能学院,(077503)计算机应用技术,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(836)计算机综合I（数据结构、计算机组成原理）,-,-,-,-,-,-,-,-,-,-,-,-
武汉工程大学,湖北,A,普通院校,统考,计算机科学与工程学院、人工智能学院,(077503)计算机应用技术,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(836)计算机综合I（数据结构、计算机组成原理）,-,-,-,-,-,-,-,-,-,-,-,-
武汉工程大学,湖北,A,普通院校,统考,计算机科学与工程学院、人工智能学院,(077503)计算机应用技术,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(836)计算机综合I（数据结构、计算机组成原理）,-,-,-,-,-,-,-,-,-,-,-,-
武汉工程大学,湖北,A,普通院校,统考,光电信息与能源工程学院、数理学院,(077503)计算机应用技术,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(601)数学分析,(816)C语言与程序设计基础,-,-,-,-,-,-,-,-,-,-,-,-
武汉纺织大学,湖北,A,普通院校,统考,计算机与人工智能学院,(077500)计算机科学与技术,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(630)操作系统,(848)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
