学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
华北电力大学,北京,A,211，双一流,统考,控制与计算机工程学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国地质大学(北京),北京,A,211，双一流,统考,信息工程学院,(083500)软件工程,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(859)软件工程,-,-,-,-,-,-,-,-,-,-,-,-
中国地质大学(北京),北京,A,211，双一流,统考,信息工程学院,(083500)软件工程,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(859)软件工程,-,-,-,-,-,-,-,-,-,-,-,-
中国地质大学(北京),北京,A,211，双一流,统考,信息工程学院,(083500)软件工程,全日制,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(859)软件工程,-,-,-,-,-,-,-,-,-,-,-,-
北京联合大学,北京,A,普通院校,统考,机器人学院,(083500)软件工程,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(803)软件基础,-,-,-,-,-,-,-,-,-,-,-,-
北京联合大学,北京,A,普通院校,统考,机器人学院,(083500)软件工程,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(803)软件基础,-,-,-,-,-,-,-,-,-,-,-,-
北京联合大学,北京,A,普通院校,统考,机器人学院,(083500)软件工程,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(803)软件基础,-,-,-,-,-,-,-,-,-,-,-,-
北京联合大学,北京,A,普通院校,统考,机器人学院,(083500)软件工程,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(803)软件基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
